Franchise,Total,Releases,Top Release,Domestic Lifetime Gross,Budget,Studio,Rating,Runtime,Average Critic Score,Average Audience Score,Main Actor
Transformers,"1,582,401,601",7,Transformers: Revenge of the Fallen,"402,111,870","200,000,000",DreamWorks,PG-13,149,35,6.0,Shia LaBeouf
Avatar,"1,469,297,416",4,Avatar,"749,766,139","237,000,000",Twentieth Century Fox,PG-13,162,83,7.9,Sam Worthington
Pirates of the Caribbean,"1,451,780,833",5,Pirates of the Caribbean: Dead Man's Chest,"423,315,812","225,000,000",Walt Disney Studios Motion Pictures,PG-13,151,53,7.4,Johnny Depp
Star Trek,"1,402,093,928",15,Star Trek,"257,730,019","150,000,000",Paramount Pictures,PG-13,127,82,7.9,Chris Pine
Twilight,"1,365,922,347",7,The Twilight Saga: Eclipse,"300,531,751","68,000,000",Summit Entertainment,PG-13,124,58,5.1,Kristen Stewart
Mission: Impossible,"1,352,461,910",8,Mission: Impossible - Fallout,"220,159,104","220,159,104",Paramount Pictures,PG-13,147,87,7.7,Tom Cruise
Deadpool,"1,324,408,302",4,Deadpool & Wolverine,"636,745,858","200,000,000",Walt Disney Studios Motion Pictures,R,127,56,7.5,Ryan Reynolds
Toy Story,"1,318,120,746",6,Toy Story 4,"434,038,008","200,000,000",Walt Disney Studios Motion Pictures,PG,100,84,7.6,Tom Hanks
The Dark Knight Trilogy,"1,190,000,139",8,The Dark Knight,"533,345,358","185,000,000",Warner Bros.,PG-13,152,84,9.0,Christian Bale
Black Panther,"1,154,255,626",3,Black Panther,"700,059,566","200,000,000",Walt Disney Studios Motion Pictures,PG-13,134,88,7.3,Chadwick Boseman
Superman,"1,139,782,702",9,Batman v Superman: Dawn of Justice,"330,360,194","250,000,000",Warner Bros.,PG-13,151,44,6.5,Henry Cavill
Indiana Jones,"1,116,783,635",8,Indiana Jones and the Kingdom of the Crystal Skull,"317,101,119","185,000,000",Paramount Pictures,PG-13,122,65,6.2,Harrison Ford
Guardians of the Galaxy,"1,082,527,516",4,Guardians of the Galaxy Vol. 2,"389,813,101","200,000,000",Walt Disney Studios Motion Pictures,PG-13,136,67,7.6,Chris Pratt
The Lord of the Rings,"1,077,240,640",16,The Lord of the Rings: The Return of the King,"377,027,325","94,000,000",New Line Cinema,PG-13,211,94,9.0,Elijah Wood
Thor,"1,045,707,883",4,Thor: Love and Thunder,"343,256,830","250,000,000",Walt Disney Studios Motion Pictures,PG-13,118,57,6.2,Chris Hemsworth
Captain America,"1,045,005,427",4,Captain America: Civil War,"408,084,349","250,000,000",Walt Disney Studios Motion Pictures,PG-13,147,75,7.8,Chris Evans
Iron Man,"1,040,481,451",4,Iron Man 3,"409,013,994","200,000,000",Walt Disney Studios Motion Pictures,PG-13,130,62,7.1,Robert Downey Jr
Inside Out,"1,009,441,905",2,Inside Out 2,"652,980,194","200,000,000",Walt Disney Studios Motion Pictures,PG,96,73,7.5,Amy Poehler
Planet of the Apes,"965,154,155",10,Dawn of the Planet of the Apes,"208,545,589","170,000,000",Twentieth Century Fox,PG-13,130,79,7.6,Andy Serkis
Top Gun,"898,990,999",4,Top Gun: Maverick,"718,732,821","170,000,000",Paramount Pictures,PG-13,130,78,8.2,Tom Cruise
Frozen,"878,326,587",3,Frozen II,"477,373,578","150,000,000",Walt Disney Studios Motion Pictures,PG,103,64,6.8,Kristen Bell
The Incredibles,"870,022,836",2,Incredibles 2,"608,581,744","200,000,000",Walt Disney Studios Motion Pictures,PG,118,80,7.5,Craig T. Nelson
Finding Nemo,"867,138,822",3,Finding Dory,"486,295,561","200,000,000",Walt Disney Studios Motion Pictures,PG,97,77,7.2,Ellen DeGeneres
Jumanji,"825,355,071",5,Jumanji: Welcome to the Jungle,"404,515,480","90,000,000",Sony Pictures Releasing,PG-13,119,58,7.0,Dwayne Johnson
The Conjuring Universe,"824,604,636",13,The Conjuring,"137,400,141","20,000,000",Warner Bros.,R,112,68,7.5,Patrick Wilson
The Hobbit,"816,556,246",6,The Hobbit: An Unexpected Journey,"303,003,568","180,000,000",Warner Bros.,PG-13,169,58,7.8,Martin Freeman
Bourne,"801,012,974",5,The Bourne Ultimatum,"227,471,070","110,000,000",Universal Pictures,PG-13,115,85,8.0,Matt Damon
The Lion King,"798,205,736",2,The Lion King,"543,638,043","260,000,000",Walt Disney Studios Motion Pictures,PG,118,55,6.8,Donald Glover
Ice Age,"793,676,582",5,Ice Age: Dawn of the Dinosaurs,"196,573,705","90,000,000",Twentieth Century Fox,PG,94,68,6.9,Ray Romano
Rocky,"792,052,221",10,Rocky IV,"127,873,716","30,000,000",United Artists,PG,91,40,6.9,Sylvester Stallone
Monsterverse,"776,495,129",5,Godzilla,"200,676,069","160,000,000",Warner Bros.,PG-13,123,62,6.4,Aaron Taylor-Johnson
Godzilla,"761,391,510",10,Godzilla,"200,676,069","160,000,000",Warner Bros.,PG-13,123,62,6.4,Aaron Taylor-Johnson
Star Wars Anthology,"747,307,503",3,Rogue One: A Star Wars Story,"532,177,324","200,000,000",Walt Disney Studios Motion Pictures,PG-13,133,65,7.8,Felicity Jones
King Kong,"740,724,612",6,King Kong,"218,080,025","207,000,000",Universal Pictures,PG-13,187,81,7.2,Naomi Watts
Ghostbusters,"727,333,889",12,Ghostbusters,"229,242,989","30,000,000",Columbia Pictures,PG,105,71,7.8,Bill Murray
Kung Fu Panda,"718,432,848",5,Kung Fu Panda,"215,727,546","130,000,000",DreamWorks,PG,92,74,7.6,Jack Black
Moana,"709,162,341",2,Moana 2,"460,405,297","150,000,000",Walt Disney Studios Motion Pictures,PG,100,58,6.6,Auli'i Cravalho
Minions,"706,595,465",2,Minions: The Rise of Gru,"370,549,695","100,000,000",Universal Pictures,PG,87,56,6.5,Steve Carell
Men in Black,"703,448,488",5,Men in Black,"250,690,539","90,000,000",Sony Pictures Releasing,PG-13,118,72,7.3,Will Smith
Teenage Mutant Ninja Turtles,"702,420,903",8,Teenage Mutant Ninja Turtles,"191,204,754","125,000,000",Paramount Pictures,PG-13,101,31,5.8,Megan Fox
Alien,"700,767,060",13,Prometheus,"126,477,084","130,000,000",Twentieth Century Fox,R,124,64,7.0,Noomi Rapace
Madagascar,"673,848,864",4,Madagascar 3: Europe's Most Wanted,"216,391,482","145,000,000",DreamWorks,PG,95,60,6.8,Ben Stiller
Terminator,"671,959,968",7,Terminator 2: Judgment Day,"204,843,345","102,000,000",TriStar Pictures,R,137,75,8.6,Arnold Schwarzenegger
Alvin and the Chipmunks,"662,743,627",5,Alvin and the Chipmunks: The Squeakquel,"219,614,612","75,000,000",Twentieth Century Fox,PG,88,41,4.6,Jason Lee
The Hangover,"644,004,123",4,The Hangover,"277,322,503","35,000,000",Warner Bros.,R,100,73,7.7,Zach Galifianakis
Doctor Strange,"643,973,527",2,Doctor Strange in the Multiverse of Madness,"411,331,607","414,900,000",Walt Disney Studios Motion Pictures,PG-13,126,60,6.9,Benedict Cumberbatch
The Matrix,"630,654,142",5,The Matrix Reloaded,"281,576,461","150,000,000",Warner Bros.,PG-13,138,62,7.2,Keanu Reeves
Halloween,"624,106,675",14,Halloween,"159,342,015","10,000,000",Universal Pictures,R,106,67,6.5,Jamie Lee Curtis
Ant-Man,"611,355,812",3,Ant-Man and the Wasp,"216,648,740","162,000,000",Walt Disney Studios Motion Pictures,PG-13,118,70,7.0,Paul Rudd
Bad Boys,"604,293,929",4,Bad Boys for Life,"206,305,244","90,000,000",Sony Pictures Releasing,R,124,59,6.5,Will Smith
LEGO,"599,223,260",8,The Lego Movie,"257,760,692","60,000,000",Warner Bros.,PG,100,83,7.7,Chris Pratt
Fockers,"593,943,805",3,Meet the Fockers,"279,261,160","80,000,000",Universal Pictures,PG-13,115,41,6.3,Ben Stiller
Cars,"588,436,493",3,Cars,"244,082,982","120,000,000",Walt Disney Studios Motion Pictures,G,116,73,7.3,Owen Wilson
Sonic the Hedgehog,"575,962,669",3,Sonic the Hedgehog 3,"236,115,100","122,000,000",Paramount Pictures,PG,110,56,6.9,Jim Carrey
Madea,"569,784,278",9,Madea Goes to Jail,"90,508,336","17,500,000",Lionsgate,PG-13,103,50,4.6,Tyler Perry
Venom,"566,821,754",3,Venom: Let There Be Carnage,"213,550,366","110,000,000",Sony Pictures Releasing,PG-13,97,49,5.9,Tom Hardy
Ocean's 11,"566,411,880",5,Ocean's Eleven,"183,417,150","85,000,000",Warner Bros.,PG-13,116,74,7.7,George Clooney
"Monsters, Inc.","559,135,020",4,Monsters University,"268,492,764","200,000,000",Walt Disney Studios Motion Pictures,G,104,65,7.2,Billy Crystal
How to Train Your Dragon,"555,529,660",4,How to Train Your Dragon,"217,581,231","165,000,000",DreamWorks,PG,98,75,8.1,Jay Baruchel
The Mummy,"552,654,006",5,The Mummy Returns,"202,019,785","98,000,000",Universal Pictures,PG-13,130,48,6.4,Brendan Fraser
Night at the Museum,"541,853,610",3,Night at the Museum,"250,863,268","110,000,000",Twentieth Century Fox,PG,108,48,6.5,Ben Stiller
It,"540,497,506",5,It,"327,481,748","35,000,000",Warner Bros.,R,135,69,7.3,Bill Skarsgard
Wolverine,"538,717,077",3,Logan,"226,277,068","97,000,000",Twentieth Century Fox,R,137,77,8.1,Hugh Jackman
The Chronicles of Narnia,"537,719,397",3,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","291,710,957","180,000,000",Walt Disney Studios Motion Pictures,PG,143,75,6.9,Tilda Swinton
Planet of the Apes (2011-2017),"532,185,936",3,Dawn of the Planet of the Apes,"208,545,589","170,000,000",Twentieth Century Fox,PG-13,130,79,7.6,Andy Serkis
Saw,"531,606,984",11,Saw II,"87,039,965","4,000,000",Lionsgate,R,93,40,6.6,Donnie Whalberg
The Secret Life of Pets,"527,604,110",2,The Secret Life of Pets,"368,623,860","75,000,000",Universal Pictures,PG,86,61,6.5,Louie C.K.
Captain Marvel,"511,330,062",2,Captain Marvel,"426,829,839","160,000,000",Walt Disney Studios Motion Pictures,PG-13,123,64,6.8,Brie Larson
Rush Hour,"507,477,118",3,Rush Hour 2,"226,164,286","90,000,000",New Line Cinema,PG-13,90,48,6.7,Jackie Chan
Die Hard,"505,324,593",8,Live Free or Die Hard,"134,529,403","110,000,000",Twentieth Century Fox,PG-13,128,69,7.1,Bruce Willis
Jack Ryan,"497,036,395",5,Clear and Present Danger,"122,187,717","62,000,000",Paramount Pictures,PG-13,141,72,6.9,Harrison Ford
John Wick,"493,214,512",4,John Wick: Chapter 4,"187,131,806","100,000,000",Lionsgate,R,169,78,7.6,Keanu Reeves
Home Alone,"490,229,274",3,Home Alone,"285,761,243","18,000,000",Twentieth Century Fox,PG,103,63,7.7,Macaulay Culkin
Fantastic Beasts,"489,444,320",3,Fantastic Beasts and Where to Find Them,"234,037,575","180,000,000",Warner Bros.,PG-13,132,66,7.2,Eddie Redmayne
Lethal Weapon,"487,637,243",4,Lethal Weapon 2,"147,253,986","30,000,000",Warner Bros.,R,114,70,7.3,Mel Gibson
A Quiet Place,"487,148,506",3,A Quiet Place,"188,024,361","17,000,000",Paramount Pictures,PG-13,90,82,7.5,Emily Blunt
Hotel Transylvania,"485,636,431",4,Hotel Transylvania 2,"169,700,110","80,000,000",Sony Pictures Releasing,PG,89,44,6.6,Adam Sandler
Austin Powers,"473,259,723",4,Austin Powers in Goldmember,"213,307,889","63,000,000",New Line Cinema,PG-13,94,62,6.2,Mike Meyers
Scary Movie,"461,058,392",5,Scary Movie,"157,019,771","19,000,000",Miramax,R,88,48,6.3,Anna Faris
Wonder Woman,"459,646,208",4,Wonder Woman,"412,563,408","149,000,000",Warner Bros.,PG-13,141,76,7.3,Gal Gadot
Aquaman,"459,585,540",3,Aquaman,"335,061,807","160,000,000",Warner Bros.,PG-13,143,55,6.8,Jason Mamoa
Sing,"433,369,415",3,Sing,"270,395,425","75,000,000",Universal Pictures,PG,108,59,7.1,Matthew McConaughy
Beverly Hills Cop,"431,040,426",3,Beverly Hills Cop,"234,760,478","13,000,000",Paramount Pictures,R,105,66,7.4,Eddie Murphy
The Karate Kid,"430,643,938",7,The Karate Kid,"176,591,618","40,000,000",Sony Pictures Releasing,PG,140,61,6.2,Jackie Chan
Hannibal Lecter,"425,277,003",5,Hannibal,"165,092,268","87,000,000",Metro-Goldwyn-Mayer(MGM),R,131,57,6.8,Anthony Hopkins
Back to the Future,"422,192,087",8,Back to the Future,"212,326,307","19,000,000",Universal Pictures,PG,116,87,8.5,Michael J. Fox
Jaws,"415,309,700",7,Jaws,"260,696,045","7,000,000",Universal Pictures,PG,124,87,8.1,Roy Scheider
Scream,"413,375,472",5,Scream,"103,046,663","14,000,000",Dimension Films,R,111,66,7.4,Neve Campbell
Alice in Wonderland,"411,232,491",2,Alice in Wonderland,"334,191,110","200,000,000",Walt Disney Studios Motion Pictures,PG,108,53,6.4,Mia Wasikowska
Independence Day,"409,313,554",2,Independence Day,"306,169,268","75,000,000",Twentieth Century Fox,PG-13,145,59,7.0,Will Smith
American Pie,"409,241,234",4,American Pie 2,"145,103,595","30,000,000",Universal Pictures,R,108,43,6.4,Jason Biggs
Paranormal Activity,"401,348,020",6,Paranormal Activity,"107,918,810","15,000",Paramount Pictures,R,86,68,6.3,Katie Featherston
The Exorcist,"397,464,486",9,The Exorcist,"193,000,000","11,000,000",Warner Bros.,R,122,83,8.1,Ellen Burstyn
Sherlock Holmes,"395,877,097",2,Sherlock Holmes,"209,028,679","90,000,000",Warner Bros.,PG-13,128,57,7.6,Robert Downey Jr
Joker,"393,777,944",3,Joker,"335,451,311","55,000,000",Warner Bros.,R,122,59,8.3,Joaquin Phoenix
National Treasure,"392,973,009",2,National Treasure: Book of Secrets,"219,964,115","130,000,000",Walt Disney Studios Motion Pictures,PG,124,48,6.5,Nicolas Cage
Dune,"391,042,188",3,Dune: Part Two,"282,144,358","190,000,000",Warner Bros.,PG-13,166,79,8.5,Timothee Chalamet
Wreck-It Ralph,"390,514,600",2,Ralph Breaks the Internet,"201,091,711","175,000,000",Walt Disney Studios Motion Pictures,PG,112,71,7.0,John C. Reilly
Robert Langdon,"385,255,558",3,The Da Vinci Code,"217,536,138","125,000,000",Sony Pictures Releasing,PG-13,149,46,6.6,Tom Hanks
Friday the 13th,"382,756,866",14,Freddy vs. Jason,"82,622,655","30,000,000",New Line Cinema,R,97,37,5.7,Robert Englund
Fifty Shades,"381,156,240",3,Fifty Shades of Grey,"166,167,230","40,000,000",Universal Pictures,R,125,46,4.2,Dakota Johnson
Suicide Squad,"380,917,479",2,Suicide Squad,"325,100,054","175,000,000",Warner Bros.,PG-13,123,40,5.9,Will Smith
Taken,"374,111,700",3,Taken,"145,000,989","25,000,000",Twentieth Century Fox,PG-13,90,51,7.7,Liam Neeson
Nightmare on Elm Street,"370,625,814",11,Freddy vs. Jason,"82,622,655","30,000,000",New Line Cinema,R,97,37,5.7,Robert Englund
The Santa Clause,"369,275,806",4,The Santa Clause,"144,833,357","22,000,000",Walt Disney Studios Motion Pictures,PG,97,57,6.6,Tim Allen
Beetlejuice,"368,765,067",4,Beetlejuice Beetlejuice,"294,100,435","99,000,000",Warner Bros.,PG-13,105,62,6.6,Michael Keaton
Gladiator,"360,143,443",2,Gladiator,"187,705,427","103,000,000",DreamWorks Distribution,R,155,67,8.5,Russell Crowe
Jackass,"356,266,735",4,Jackass 3D,"117,229,692","20,000,000",Paramount Pictures,R,94,56,7.0,Johnny Knoxville
Maleficent,"355,339,983",2,Maleficent,"241,410,378","180,000,000",Walt Disney Studios Motion Pictures,PG,97,56,6.9,Angelina Jolie
Pitch Perfect Trilogy,"354,491,853",4,Pitch Perfect 2,"184,296,230","29,000,000",Universal Pictures,PG-13,115,63,6.4,Anna Kendrick
Spy Kids,"348,865,600",4,Spy Kids,"112,719,001","35,000,000",Miramax,PG,88,71,5.6,Alexa PenaVega
Divergent,"347,311,018",3,Divergent,"150,947,895","85,000,000",Lionsgate,PG-13,139,48,6.6,Shailene Woodley
Unbreakable,"344,351,172",3,Split,"138,291,365","9,000,000",Universal Pictures,PG-13,117,63,7.3,James McAvoy
Fantastic Four,"342,735,366",3,Fantastic Four,"154,696,080","100,000,000",Twentieth Century Fox,PG-13,106,40,5.7,Ioan Gruffudd
The Muppets,"341,348,414",10,The Muppets,"88,631,237","45,000,000",Walt Disney Studios Motion Pictures,PG,103,75,7.1,Amy Adams
Final Destination,"339,088,152",6,Final Destination: Bloodlines,"75,632,397","25,500,000",TriStar Pictures,R,96,47,6.5,Slyvester Stallone
Rambo,"338,917,404",5,Rambo: First Blood Part II,"150,415,432","50,000,000",Warner Bros.,R,110,73,7.1,Kaitlyn Santa Juana
Jump Street,"330,167,004",2,22 Jump Street,"191,719,337","50,000,000",Sony Pictures Releasing,R,112,71,7.0,Channing Tatum
The Purge,"329,677,280",5,The Purge: Election Year,"79,213,375","10,000,000",Universal Pictures,R,108,55,6.0,Frank Grillo
300,"317,209,152",3,300,"210,614,939","65,000,000",Warner Bros.,R,117,52,7.6,Gerard Butler
Predator,"315,509,654",6,Alien vs. Predator,"80,282,231","60,000,000",Twentieth Century Fox,PG-13,101,29,5.7,Sanaa Lathan
Crocodile Dundee,"309,745,398",3,Crocodile Dundee,"174,803,506","5,677,452",Paramount Pictures,PG-13,97,62,6.6,Paul Hogan
The Conjuring,"305,593,558",5,The Conjuring,"137,400,141","20,000,000",Warner Bros.,R,112,68,7.5,Patrick Wilson
My Big Fat Greek Wedding,"301,127,813",2,My Big Fat Greek Wedding,"241,438,208","5,000,000",IFC Films,PG,95,62,6.6,Nia Vardalos
G.I. Joe,"300,988,883",3,G.I. Joe: The Rise of Cobra,"150,201,498","175,000,000",Paramount Pictures,PG-13,118,32,5.7,Dennis Quaid
Ted,"300,291,872",2,Ted,"218,815,487","50,000,000",Universal Pictures,R,106,62,6.9,Mark Whalberg
Equalizer,"295,988,851",3,The Equalizer 2,"102,084,362","62,000,000",Sony Pictures Releasing,R,121,50,6.7,Denzel Washington
Grown Ups,"295,669,711",2,Grown Ups,"162,001,186","80,000,000",Sony Pictures Releasing,PG-13,102,30,6.0,Adam Sandler
Pokemon,"293,203,870",7,Pokémon: Detective Pikachu,"144,105,346","150,000,000",Warner Bros.,PG,104,53,6.5,Ryan Reynolds
Mad Max,"290,404,207",7,Mad Max: Fury Road,"153,636,354","150,000,000",Warner Bros.,R,120,90,8.1,Tom Hardy
The Pink Panther,"282,627,700",10,The Pink Panther,"82,226,474","80,000,000",Sony Pictures Releasing,PG,93,38,5.7,Steve Martin
Vacation,"280,583,131",9,National Lampoon's Christmas Vacation,"71,319,526","28,000,000",Warner Bros.,PG-13,97,49,7.5,Chevy Chase
Rio,"275,158,244",2,Rio,"143,619,809","90,000,000",Twentieth Century Fox,PG,96,63,6.9,Jesse Eisenberg
Mary Poppins,"274,231,165",4,Mary Poppins Returns,"171,958,438","130,000,000",Walt Disney Studios Motion Pictures,PG,130,66,6.7,Emily Blunt
Resident Evil,"271,274,006",6,Resident Evil: Afterlife,"60,128,566","60,000,000",Screen Gems,R,96,37,5.8,Milla Jovovich
The Smurfs,"269,886,444",4,The Smurfs,"142,614,158","110,000,000",Sony Pictures Releasing,PG,103,30,5.4,Hank Azaria
Kingsman Franchise,"265,672,935",3,Kingsman: The Secret Service,"128,261,724","81,000,000",Twentieth Century Fox,R,129,60,7.7,Colin Firth
Mamma Mia!,"264,965,504",3,Mamma Mia!,"144,290,968","52,000,000",Universal Pictures,PG-13,108,51,6.5,Meryl Streep
Annabelle,"260,529,044",4,Annabelle: Creation,"102,092,201","15,000,000",Warner Bros.,R,109,62,6.5,Anthony LaPaglia
Trolls,"257,894,244",4,Trolls,"153,856,089","125,000,000",Twentieth Century Fox,PG,92,55,6.4,Anna Kendrick
Insidious,"257,559,485",4,Insidious: Chapter 2,"83,586,447","5,000,000",FilmDistrict,R,106,40,6.6,Patrick Wilson
Daddy's Home,"254,386,580",2,Daddy's Home,"150,357,137","50,000,000",Paramount Pictures,PG-13,96,42,6.2,Will Ferrell
SpongeBob,"253,222,810",3,The SpongeBob Movie: Sponge Out of Water,"162,994,032","74,000,000",Paramount Pictures,PG,92,62,6.0,Tom Kenny
Underworld,"252,766,892",5,Underworld: Awakening,"62,321,039","70,000,000",Screen Gems,R,88,39,6.3,Kate Beckinsale
The Godfather,"250,977,060",7,The Godfather,"133,698,921","6,000,000",Paramount Pictures,R,175,100,9.2,Marlon Brando
The Croods,"245,737,240",2,The Croods,"187,168,425","135,000,000",Twentieth Century Fox,PG,98,55,7.1,Nicolas Cage
Cloudy with a Chance of Meatballs,"244,663,842",2,Cloudy with a Chance of Meatballs,"124,870,275","100,000,000",Sony Pictures Releasing,PG,90,66,6.9,Anna Faris
The Expendables,"244,129,413",4,The Expendables,"103,068,524","80,000,000",Lionsgate,R,103,45,6.4,Slyvester Stallone
Maze Runner,"242,157,497",3,The Maze Runner,"102,427,862","3,400,000",Twentieth Century Fox,PG-13,113,57,6.8,Dylan O'Brien
Scooby-Doo,"239,749,631",5,Scooby-Doo,"153,294,164","84,000,000",Warner Bros.,PG,89,35,5.3,Matthew Lillard
Dumb and Dumber,"239,674,802",4,Dumb and Dumber,"127,175,374","17,000,000",New Line Cinema,PG-13,107,41,7.3,Jim Carrey
Police Academy,"239,643,235",7,Police Academy,"81,198,894","4,500,000",Warner Bros.,R,96,41,6.7,Steve Guttenberg
The Ring,"233,152,400",3,The Ring,"129,128,133","48,000,000",DreamWorks Distribution,PG-13,115,57,7.1,Naomi Watts
Barbershop,"231,303,693",5,Barbershop,"75,782,105","12,000,000",Metro-Goldwyn-Mayer(MGM),PG-13,102,66,6.3,Ice Cube
Fallen,"230,480,336",3,Olympus Has Fallen,"98,925,640","70,000,000",FilmDistrict,R,119,41,6.5,Gerard Butler
Dirty Harry,"227,538,483",6,Sudden Impact,"67,642,693","22,000,000",Warner Bros.,R,117,52,6.6,Clint Eastwood
Ride Along,"226,160,030",2,Ride Along,"134,938,200","25,000,000",Universal Pictures,PG-13,99,41,6.1,Ice Cube
Big Momma,"225,640,824",3,Big Momma's House,"117,559,438","30,000,000",Twentieth Century Fox,PG-13,99,33,5.3,Martin Lawrence
Creed,"225,494,772",3,Creed II,"115,715,889","50,000,000",Metro-Goldwyn-Mayer(MGM),PG-13,130,66,7.1,Michael B. Jordan
Paul Blart,"217,374,368",2,Paul Blart: Mall Cop,"146,336,178","26,000,000",Sony Pictures Releasing,PG-13,91,39,5.3,Kevin James
The Naked Gun,"216,819,186",3,The Naked Gun 2½: The Smell of Fear,"86,930,411","23,000,000",Paramount Pictures,PG-13,85,65,6.9,Leslie Nielson
Rugrats,"216,405,003",3,The Rugrats Movie,"100,494,675","24,000,000",Paramount Pictures,PG,79,62,5.9,Elizabeth Daily
Step Up,"215,725,188",5,Step Up,"65,328,121","12,000,000",Walt Disney Studios Motion Pictures,PG-13,104,48,6.5,Channing Tatum
xXx Trilogy,"213,881,727",3,xXx,"142,109,382","70,000,000",Revolution Studios,PG-13,124,48,5.8,Vin Diesel
Winnie the Pooh,"212,664,277",5,Christopher Robin,"99,215,042","75,000,000",Walt Disney Studios Motion Pictures,PG,104,60,7.2,Ewan McGregor
Neighbors,"205,613,165",2,Neighbors,"150,157,400","18,000,000",Universal Pictures,R,97,68,6.3,Seth Rogen
Journey to the Center of the Earth,"205,592,118",3,Journey 2: The Mysterious Island,"103,860,290","79,000,000",Warner Bros.,PG,94,41,5.7,Josh Hutcherson
Tron,"205,062,763",2,Tron: Legacy,"172,062,763","170,000,000",Walt Disney Studios Motion Pictures,PG,125,49,6.8,Jeff Bridges
Blade,"204,847,943",3,Blade II,"82,348,319","54,000,000",New Line Cinema,R,117,52,6.7,Wesley Snipes
Snow White and the Huntsman,"203,722,571",2,Snow White and the Huntsman,"155,332,381","170,000,000",Universal Pictures,PG-13,127,57,6.1,Kristen Stewart
World War Z,"202,807,711",2,World War Z,"202,359,711","190,000,000",Paramount Pictures,PG-13,116,63,7,Brad Pitt
Herbie the Love Bug,"202,516,816",7,Herbie: Fully Loaded,"66,023,816","50,000,000",Walt Disney Studios Motion Pictures,PG,101,47,4.9,Lindsay Lohan
Texas Chainsaw Massacre,"199,267,695",8,The Texas Chainsaw Massacre,"80,571,655","9,500,000",New Line Cinema,R,98,38,6.2,Jessica Biel
Smokey and the Bandit,"198,549,004",3,Smokey and the Bandit,"126,737,428","4,300,000",Universal Pictures,PG,96,50,7,Burt Reynolds
Look Who's Talking,"198,218,150",3,Look Who's Talking,"140,088,813","7,500,000",TriStar Pictures,PG,93,51,5.9,John Travolta
Shazam!,"198,118,055",3,Shazam!,"140,371,656","100,000,000",Warner Bros.,PG-13,132,71,7,Zachary Levi
Gremlins,"195,124,387",5,Gremlins,"148,168,459","11,000,000",Warner Bros.,PG,106,70,7.3,Zach Galligan
Agatha Christie,"190,928,059",3,Murder on the Orient Express,"102,826,543","55,000,000",Twentieth Century Fox,PG-13,114,52,6.5,Kenneth Branagh
Blair Witch,"187,753,254",3,The Blair Witch Project,"140,539,099","60,000",Artisan Entertainment,R,81,80,6.5,Heather Donahue
